sequence,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhExbB6iBXhB8?mBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhExbBTdBXhBC?nBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhECdBGgB/mBT?iBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEFdBXhBSnBx?qBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhEchBTdBGgBC?nBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhExcB+mBTiB3?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhExcB6mBTiB0?gBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEfiB6iBxqBu?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEWhB6iB8mBX?hBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEfiB6iBVmBx?qBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhExcBTiBGmB/?qBFrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEfiB6iBUhBx?qBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhERcB+iBUhB9?qB3rB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhExcBTiBFmB/?qBGrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEXdBSnBxqBu?qBFrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEugBSiB/mBU?iBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhESiBGgB/mBU?iBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhERcB+iB3hB9?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhETdBuqBCsBf?qBFrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhETdBuqBCsBc?rBFqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhEchBTdB1qBC?nBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhECcBGiBxqB8?qBXsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEUcBXiBxqBt?qBGsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEfmB6mBTiBU?lBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je8BJvhE+iBRgBXhBF?lBCrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeX9IvhERgBSnBuqBF?qBTrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je08IvhE6iBRgBuqB3?rBFqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhECdB/mBTiB1?qBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEGgB6mBTiB8?qBFqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeT9IvhERgBWnBXhBF?lBCrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhETiBFmBflBG?mB6qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jel7IvhECdBTiBGmBf?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhETdB3lBCnBc?mBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jel7IvhETdBuqBCsBf?qBcrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeG9IvhERhBzlBCnBf?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhE6iB8mBuqBf?qBFrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhECdBTiBGmBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhETdB3lBCnBc?mBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeSBJvhETdBWrBxmBf?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je/BJvhEGgBTiB8qBF?qBCsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JefCJvhE6iBRgBGmBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEGhBTiBUmBf?lB6qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhE8lB+mBTiBf?lB6qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEXhBTiBSrBF?lBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhETiBGmBflBF?mB6qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC9IvhERgBTiBGmBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhE1hB6iBRmB/?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhEXhBTiBCiBx?qBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je07IvhETdBtqBxrBf?qB6rB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JecBJvhETdB5lBCsBf?qBmqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhE+iBRhB3hB9?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhE+iBRhBUhB9?qB3rB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhE6iBzhBuqBf?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhE6iBzhBUmBf?lBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeG9IvhEzgBUiBSrBf?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhEFdBSnB3lBT?mBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEfmBSnBUlBl?mBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC9IvhEGgB/mBTiBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEUdBFhBSnBx?qBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhEfiB6iBGmBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhExcBGhBTiBU?mB/qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhE8hB+iBzgBf?lBCrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhE8gBTdBxmB+?mB/qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC9IvhEUhBTiBWrBf?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jem7IvhE5lBcrBTnBf?qBCsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhE+iBFmB8mB3?lBCrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhEUdBXhBSnBx?qBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jel7IvhEGiBRmBflB8?qBCsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeGCJvhERmBflBzlBC?nBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeGAJvhExhB6mBTiB8?qBFqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC9IvhERgBTiBGgB/?mBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeuFJvhEcmBTiBflBC?nBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je8AJvhETdBxmBflB+?mB6qB
ZLISJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISJOT,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISOTJ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISOJT,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJST,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOSTJ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOSJT,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJTISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTIOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTSOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTOIS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTOSI,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJITSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJITOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLJISTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJISOT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLJIOTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLJIOST,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZLJSTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSTOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSITO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSIOT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSOTI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSOIT,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOTIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOTSI,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOITS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOIST,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOSTI,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLJOSIT,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLSTIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTIOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTJIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTJOI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTOIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTOJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSITJO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSITOJ,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIJOT,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIOTJ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIOJT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJTOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJITO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJIOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOIT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOITJ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOIJT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJTI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJIT,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTISJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTJIS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTJSI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSIJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOITJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
