sequence,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhFxgBTiBClB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFWlBxgBTiB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhFzgBGiB3kBlqBRs?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFzfBRhBcnBGmBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jex/IvhFmhBqnBTkB/qBFm?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF0gBxhBzkBFnBCr?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF8kBzgBlqBRsBfs?B6sB,v115@FhB8HeB8IeD8AeB8BeB8JexAJvhFTiBikBuqB1rB0k?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhF3gBWnB1pB8qBRs?BTsB,v115@FhB8HeB8IeD8AeB8BeB8Jel/IvhF3gBCiB2pB8qBRs?BTsB
ILOTZJS,X,X,X,X,X,O,X,X,X,X
ILOTZSJ,X,X,X,X,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,X,O,X,O,X,X
ILOJTZS,X,X,X,X,X,O,X,O,X,O
ILOJSTZ,O,X,X,X,O,O,X,X,X,X
ILOJSZT,O,X,X,O,X,O,X,X,X,X
ILOJZTS,O,X,X,X,X,O,X,X,X,O
ILOJZST,O,X,X,X,X,O,X,X,X,O
ILOSTJZ,O,X,X,O,O,O,X,X,X,X
ILOSTZJ,X,X,X,O,O,O,X,X,X,X
ILOSJTZ,O,X,X,X,O,O,X,X,X,X
ILOSJZT,O,X,X,O,X,O,X,X,X,X
ILOSZTJ,O,X,X,O,O,O,X,X,X,X
ILOSZJT,O,X,X,O,X,O,X,X,X,X
ILOZTJS,O,X,X,X,X,O,X,X,X,X
ILOZTSJ,X,X,X,X,X,O,X,X,X,X
ILOZJTS,O,X,X,X,X,O,X,X,X,O
ILOZJST,O,X,X,X,X,O,X,X,X,O
ILOZSTJ,O,X,X,X,O,O,X,X,X,O
ILOZSJT,O,X,X,X,X,O,X,X,X,O
IJTLSZO,O,X,O,X,X,X,X,O,O,O
IJTLSOZ,O,X,O,X,X,X,X,O,X,X
IJTLZSO,O,X,X,X,X,X,X,O,O,O
IJTLZOS,O,X,X,X,X,X,X,O,O,O
IJTLOSZ,O,X,O,X,X,X,X,O,X,X
IJTLOZS,O,X,X,X,X,X,X,O,O,O
IJTSLZO,O,X,O,X,X,X,X,O,O,O
IJTSLOZ,O,X,O,X,X,X,X,O,X,X
IJTSZLO,O,X,O,X,X,X,X,O,O,O
IJTSZOL,O,X,O,X,X,X,X,O,O,O
IJTSOLZ,O,X,O,X,X,X,X,O,X,X
IJTSOZL,X,X,O,X,X,X,X,O,X,X
IJTZLSO,O,X,X,X,X,X,O,O,O,O
IJTZLOS,O,X,X,X,X,X,O,O,O,O
IJTZSLO,O,X,O,X,X,X,O,O,O,O
IJTZSOL,O,X,O,X,X,X,O,O,O,O
IJTZOLS,O,X,X,X,X,X,O,O,O,O
IJTZOSL,O,X,O,X,X,X,O,X,O,O
IJTOLSZ,X,X,O,X,X,X,X,O,X,X
IJTOLZS,X,X,X,X,X,X,X,O,O,O
IJTOSLZ,X,X,O,X,X,X,X,O,X,X
IJTOSZL,X,X,O,X,X,X,X,O,X,X
IJTOZLS,X,X,X,X,X,X,O,O,O,O
IJTOZSL,X,X,O,X,X,X,O,X,O,O
IJLTSZO,O,X,O,X,X,O,X,O,O,O
IJLTSOZ,O,X,O,X,X,X,X,O,X,X
IJLTZSO,O,X,X,X,X,O,X,O,O,O
IJLTZOS,O,X,X,X,X,O,X,O,O,O
IJLTOSZ,X,X,O,X,X,X,X,O,X,X
IJLTOZS,X,X,X,X,X,O,X,O,O,O
IJLSTZO,O,X,O,X,X,O,X,O,X,O
IJLSTOZ,O,X,O,X,X,O,X,O,X,X
IJLSZTO,O,X,O,O,X,O,X,X,X,O
IJLSZOT,O,X,X,O,X,O,X,X,X,O
IJLSOTZ,O,X,O,X,X,X,X,X,X,X
IJLSOZT,O,X,X,O,X,X,X,X,X,X
IJLZTSO,O,X,X,X,X,O,O,O,O,O
IJLZTOS,O,X,X,X,X,O,O,O,O,O
IJLZSTO,O,X,X,X,X,O,X,X,O,O
IJLZSOT,O,X,X,X,X,O,X,X,X,O
IJLZOTS,O,X,X,X,X,O,X,X,X,O
IJLZOST,O,X,X,X,X,O,X,X,X,O
IJLOTSZ,X,X,X,X,X,X,X,O,X,X
IJLOTZS,X,X,X,X,X,X,X,O,X,O
IJLOSTZ,O,X,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,O,X,X,X,X,X,X
IJLOZTS,O,X,X,X,X,X,X,X,X,O
IJLOZST,O,X,X,X,X,X,X,X,X,O
IJSTLZO,O,X,O,X,X,X,X,O,O,O
IJSTLOZ,O,X,O,X,X,O,X,O,X,X
IJSTZLO,O,X,O,X,X,X,X,O,O,O
IJSTZOL,O,X,O,X,X,O,X,O,O,O
IJSTOLZ,O,X,O,X,X,O,X,O,X,X
IJSTOZL,X,X,O,X,X,O,X,O,X,X
IJSLTZO,O,X,O,X,X,O,X,O,X,O
IJSLTOZ,O,X,O,X,X,O,X,O,X,X
IJSLZTO,O,X,O,O,X,O,X,X,X,O
IJSLZOT,O,X,X,O,X,O,X,X,X,O
IJSLOTZ,O,X,O,X,X,X,X,X,X,X
IJSLOZT,O,X,X,O,X,X,X,X,X,X
IJSZTLO,O,X,O,O,X,X,O,X,O,O
IJSZTOL,O,X,O,X,X,X,O,X,O,O
IJSZLTO,O,X,O,O,X,X,X,X,O,O
IJSZLOT,O,X,X,O,X,X,X,X,X,O
IJSZOTL,O,X,X,X,X,X,X,X,O,O
IJSZOLT,O,X,X,O,X,X,X,X,X,O
IJSOTLZ,O,X,O,X,X,O,X,X,X,X
IJSOTZL,X,X,O,X,X,O,X,X,X,X
IJSOLTZ,O,X,O,X,X,O,X,X,X,X
IJSOLZT,O,X,X,X,X,O,X,X,X,X
IJSOZTL,O,X,X,X,X,O,X,X,X,X
IJSOZLT,O,X,X,X,X,O,X,X,X,X
IJZTLSO,O,X,X,X,X,X,O,O,O,O
IJZTLOS,O,X,X,X,X,X,O,O,O,O
IJZTSLO,O,X,O,X,X,X,O,O,O,O
IJZTSOL,O,X,O,X,X,X,O,O,O,O
IJZTOLS,O,X,X,X,X,X,O,O,O,O
IJZTOSL,O,X,O,X,X,X,O,X,O,O
IJZLTSO,O,X,X,X,X,X,O,O,O,O
IJZLTOS,O,X,X,X,X,X,O,O,O,O
IJZLSTO,O,X,X,X,X,X,X,X,O,O
IJZLSOT,O,X,X,X,X,X,X,X,X,O
IJZLOTS,O,X,X,X,X,X,X,X,X,O
IJZLOST,O,X,X,X,X,X,X,X,X,O
IJZSTLO,O,X,O,X,X,X,O,X,O,O
IJZSTOL,O,X,O,X,X,X,O,X,O,O
IJZSLTO,O,X,O,X,X,X,X,X,O,O
IJZSLOT,O,X,X,X,X,X,X,X,X,O
IJZSOTL,O,X,X,X,X,X,X,X,O,O
IJZSOLT,O,X,X,X,X,X,X,X,X,O
IJZOTLS,O,X,X,X,X,X,O,X,O,O
IJZOTSL,O,X,X,X,X,X,O,X,O,O
IJZOLTS,O,X,X,X,X,X,X,X,X,O
IJZOLST,O,X,X,X,X,X,X,X,X,O
IJZOSTL,O,X,X,X,X,X,X,X,O,O
IJZOSLT,O,X,X,X,X,X,X,X,X,O
IJOTLSZ,X,X,O,X,X,X,X,O,X,X
IJOTLZS,X,X,X,X,X,X,X,O,O,O
IJOTSLZ,X,X,O,X,X,X,X,O,X,X
IJOTSZL,X,X,O,X,X,X,X,O,X,X
IJOTZLS,X,X,X,X,X,X,X,O,O,O
IJOTZSL,X,X,O,X,X,X,X,X,O,O
IJOLTSZ,X,X,X,X,X,O,X,O,X,X
IJOLTZS,X,X,X,X,X,O,X,O,X,O
IJOLSTZ,X,X,X,X,X,O,X,X,X,X
IJOLSZT,X,X,X,X,X,O,X,X,X,X
IJOLZTS,X,X,X,X,X,O,X,X,X,O
IJOLZST,X,X,X,X,X,O,X,X,X,O
IJOSTLZ,X,X,O,X,X,O,X,X,X,X
IJOSTZL,X,X,O,X,X,O,X,X,X,X
IJOSLTZ,X,X,O,X,X,O,X,X,X,X
IJOSLZT,X,X,X,X,X,O,X,X,X,X
IJOSZTL,X,X,X,X,X,O,X,X,X,X
IJOSZLT,X,X,X,X,X,O,X,X,X,X
IJOZTLS,X,X,X,X,X,O,O,X,O,O
IJOZTSL,X,X,X,X,X,O,O,X,O,O
IJOZLTS,X,X,X,X,X,O,X,X,X,O
IJOZLST,X,X,X,X,X,O,X,X,X,O
IJOZSTL,X,X,X,X,X,O,X,X,O,O
IJOZSLT,X,X,X,X,X,O,X,X,X,O
ISTLJZO,O,O,O,O,O,X,X,O,O,X
ISTLJOZ,O,O,O,O,O,O,X,O,X,X
ISTLZJO,O,O,O,O,O,X,X,X,O,X
ISTLZOJ,O,O,O,O,O,X,X,X,O,X
ISTLOJZ,O,O,O,O,O,O,X,O,X,X
ISTLOZJ,O,X,O,O,O,O,X,X,X,X
ISTJLZO,O,X,O,O,O,X,X,O,O,X
ISTJLOZ,O,X,O,O,O,O,X,O,X,X
ISTJZLO,O,X,O,O,O,X,X,O,O,X
ISTJZOL,O,X,O,O,X,O,X,O,O,X
ISTJOLZ,O,X,O,X,X,O,X,O,X,X
ISTJOZL,X,X,O,X,X,O,X,O,X,X
ISTZLJO,O,O,O,O,O,X,X,X,O,X
ISTZLOJ,O,O,O,O,O,X,X,X,O,X
ISTZJLO,O,O,O,O,O,X,O,X,O,X
ISTZJOL,O,O,O,O,X,O,O,X,O,X
ISTZOLJ,O,O,O,O,O,O,X,X,O,X
ISTZOJL,O,O,O,O,O,O,O,X,O,X
ISTOLJZ,O,O,O,X,O,O,X,O,X,X
ISTOLZJ,O,X,O,X,O,O,X,X,X,X
ISTOJLZ,O,X,O,X,O,O,X,O,X,X
ISTOJZL,X,X,O,X,O,O,X,O,X,X
ISTOZLJ,X,X,O,X,O,O,X,X,X,X
ISTOZJL,X,X,O,X,O,O,O,X,X,X
ISLTJZO,O,O,O,O,O,O,X,O,X,X
ISLTJOZ,O,O,O,O,O,O,X,O,X,X
ISLTZJO,O,O,O,O,O,O,X,X,X,X
ISLTZOJ,O,O,O,O,O,O,X,X,X,X
ISLTOJZ,O,O,O,O,O,O,X,O,X,X
ISLTOZJ,X,X,O,O,O,O,X,X,X,X
ISLJTZO,O,O,O,X,O,O,X,X,X,O
ISLJTOZ,O,O,O,X,O,O,X,X,X,X
ISLJZTO,O,O,O,O,X,O,X,X,X,O
ISLJZOT,O,O,X,O,X,O,X,X,X,O
ISLJOTZ,O,O,O,X,X,X,X,X,X,X
ISLJOZT,O,O,X,O,X,X,X,X,X,X
ISLZTJO,O,O,O,O,O,O,X,X,X,O
ISLZTOJ,O,O,O,O,O,O,X,X,X,O
ISLZJTO,O,O,O,O,O,O,X,X,X,O
ISLZJOT,O,O,X,O,O,O,X,X,X,O
ISLZOTJ,O,O,X,O,O,O,X,X,X,O
ISLZOJT,O,O,X,O,O,O,X,X,X,O
ISLOTJZ,O,O,O,O,O,O,X,O,X,X
ISLOTZJ,O,X,O,O,O,O,X,X,X,X
ISLOJTZ,O,O,O,X,O,O,X,X,X,X
ISLOJZT,O,O,X,O,X,O,X,X,X,X
ISLOZTJ,O,O,X,O,O,O,X,X,X,X
ISLOZJT,O,O,X,O,X,O,X,X,X,X
ISJTLZO,O,X,O,X,O,X,X,X,O,O
ISJTLOZ,O,X,O,X,O,O,X,X,X,X
ISJTZLO,O,X,O,X,O,X,X,X,O,O
ISJTZOL,O,X,O,X,X,O,X,X,O,O
ISJTOLZ,O,X,O,X,X,O,X,X,X,X
ISJTOZL,X,X,O,X,X,O,X,X,X,X
ISJLTZO,O,X,O,X,O,O,X,X,X,O
ISJLTOZ,O,X,O,X,O,O,X,X,X,X
ISJLZTO,O,X,O,O,X,O,X,X,X,O
ISJLZOT,O,X,X,O,X,O,X,X,X,O
ISJLOTZ,O,X,O,X,X,X,X,X,X,X
ISJLOZT,O,X,X,O,X,X,X,X,X,X
ISJZTLO,O,X,O,O,O,X,O,X,O,O
ISJZTOL,O,X,O,X,X,X,O,X,O,O
ISJZLTO,O,X,O,O,O,X,X,X,O,O
ISJZLOT,O,X,X,O,O,X,X,X,X,O
ISJZOTL,O,X,X,X,X,X,X,X,O,O
ISJZOLT,O,X,X,O,X,X,X,X,X,O
ISJOTLZ,O,X,O,X,X,O,X,X,X,X
ISJOTZL,X,X,O,X,X,O,X,X,X,X
ISJOLTZ,O,X,O,X,X,O,X,X,X,X
ISJOLZT,O,X,X,X,X,O,X,X,X,X
ISJOZTL,O,X,X,X,X,O,X,X,X,X
ISJOZLT,O,X,X,X,X,O,X,X,X,X
ISZTLJO,O,O,O,O,O,X,X,X,O,O
ISZTLOJ,O,O,O,O,O,X,X,X,O,O
ISZTJLO,O,O,O,O,O,X,O,X,O,O
ISZTJOL,O,O,O,O,X,X,O,X,O,O
ISZTOLJ,O,O,O,O,O,X,X,X,O,O
ISZTOJL,O,O,O,O,O,X,O,X,O,X
ISZLTJO,O,O,O,O,O,X,X,X,O,O
ISZLTOJ,O,O,O,O,O,X,X,X,O,O
ISZLJTO,O,O,O,O,O,X,X,X,O,O
ISZLJOT,O,O,X,O,O,X,X,X,X,O
ISZLOTJ,O,O,X,O,O,X,X,X,X,O
ISZLOJT,O,O,X,O,O,X,X,X,X,O
ISZJTLO,O,O,O,O,O,X,O,X,O,O
ISZJTOL,O,O,O,O,X,X,O,X,O,O
ISZJLTO,O,O,O,O,O,X,X,X,O,O
ISZJLOT,O,O,X,O,O,X,X,X,X,O
ISZJOTL,O,O,X,X,X,X,X,X,O,O
ISZJOLT,O,O,X,O,X,X,X,X,X,O
ISZOTLJ,O,O,X,O,O,X,X,X,O,O
ISZOTJL,O,O,X,O,O,X,X,X,O,X
ISZOLTJ,O,O,X,O,O,X,X,X,X,O
ISZOLJT,O,O,X,O,O,X,X,X,X,O
ISZOJTL,O,O,X,X,O,X,X,X,O,O
ISZOJLT,O,O,X,O,O,X,X,X,X,O
ISOTLJZ,O,O,O,X,O,O,X,O,X,X
ISOTLZJ,O,X,O,X,O,O,X,X,X,X
ISOTJLZ,O,X,O,X,O,O,X,O,X,X
ISOTJZL,X,X,O,X,O,O,X,O,X,X
ISOTZLJ,X,X,O,X,O,O,X,X,X,X
ISOTZJL,X,X,O,X,O,O,X,X,X,X
ISOLTJZ,O,O,O,X,O,O,X,O,X,X
ISOLTZJ,O,X,O,X,O,O,X,X,X,X
ISOLJTZ,O,O,O,X,O,O,X,X,X,X
ISOLJZT,O,O,X,X,X,O,X,X,X,X
ISOLZTJ,O,O,X,X,O,O,X,X,X,X
ISOLZJT,O,O,X,X,O,O,X,X,X,X
ISOJTLZ,O,X,O,X,O,O,X,X,X,X
ISOJTZL,X,X,O,X,O,O,X,X,X,X
ISOJLTZ,O,X,O,X,O,O,X,X,X,X
ISOJLZT,O,X,X,X,X,O,X,X,X,X
ISOJZTL,O,X,X,X,O,O,X,X,X,X
ISOJZLT,O,X,X,X,O,O,X,X,X,X
ISOZTLJ,O,O,X,X,O,O,X,X,X,X
ISOZTJL,O,O,X,X,O,O,X,X,X,X
ISOZLTJ,O,O,X,X,O,O,X,X,X,X
ISOZLJT,O,O,X,X,O,O,X,X,X,X
ISOZJTL,O,O,X,X,O,O,X,X,X,X
ISOZJLT,O,O,X,X,O,O,X,X,X,X
IZTLJSO,O,O,X,X,O,X,O,X,O,O
IZTLJOS,O,O,X,X,O,X,O,X,O,O
IZTLSJO,O,O,X,X,X,X,X,X,O,O
IZTLSOJ,O,O,X,X,X,X,X,X,O,O
IZTLOJS,O,O,X,X,O,X,O,X,O,X
IZTLOSJ,O,O,X,X,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,O,X,O,O
IZTJLOS,O,O,X,X,X,X,O,X,O,O
IZTJSLO,O,O,O,X,X,X,O,X,O,O
IZTJSOL,O,O,O,X,X,X,O,X,O,O
IZTJOLS,O,O,X,X,X,X,O,X,O,O
IZTJOSL,O,X,O,X,X,X,O,X,O,O
IZTSLJO,O,O,O,X,X,X,X,X,O,O
IZTSLOJ,O,O,O,X,X,X,X,X,O,O
IZTSJLO,O,O,O,X,X,X,O,X,O,O
IZTSJOL,O,O,O,X,X,X,O,X,O,O
IZTSOLJ,O,O,O,X,X,X,X,X,O,O
IZTSOJL,O,O,O,X,X,X,O,X,O,X
IZTOLJS,O,O,X,X,O,X,O,X,O,X
IZTOLSJ,O,O,X,X,X,X,X,X,O,X
IZTOJLS,O,O,X,X,X,X,O,X,O,X
IZTOJSL,O,X,O,X,X,X,O,X,O,X
IZTOSLJ,O,O,O,X,X,X,X,X,O,X
IZTOSJL,O,O,O,X,X,X,O,X,O,X
IZLTJSO,O,O,X,X,O,X,O,X,O,O
IZLTJOS,O,O,X,X,O,X,O,X,O,O
IZLTSJO,O,O,X,X,X,X,X,X,O,O
IZLTSOJ,O,O,X,X,X,X,X,X,O,O
IZLTOJS,O,O,X,X,O,X,O,X,O,X
IZLTOSJ,O,O,X,X,X,X,X,X,O,X
IZLJTSO,O,O,X,X,O,X,O,X,O,O
IZLJTOS,O,O,X,X,O,X,O,X,O,O
IZLJSTO,O,O,X,X,O,X,X,X,O,O
IZLJSOT,O,O,X,X,O,X,X,X,X,O
IZLJOTS,O,O,X,X,O,X,X,X,X,O
IZLJOST,O,O,X,X,O,X,X,X,X,O
IZLSTJO,O,O,X,X,O,X,X,X,O,O
IZLSTOJ,O,O,X,X,O,X,X,X,O,O
IZLSJTO,O,O,X,X,O,X,X,X,O,O
IZLSJOT,O,O,X,X,O,X,X,X,X,O
IZLSOTJ,O,O,X,X,O,X,X,X,X,O
IZLSOJT,O,O,X,X,O,X,X,X,X,O
IZLOTJS,O,O,X,X,O,X,X,X,X,X
IZLOTSJ,O,O,X,X,O,X,X,X,X,X
IZLOJTS,O,O,X,X,O,X,X,X,X,O
IZLOJST,O,O,X,X,O,X,X,X,X,O
IZLOSTJ,O,O,X,X,O,X,X,X,X,O
IZLOSJT,O,O,X,X,O,X,X,X,X,O
IZJTLSO,O,O,X,X,X,X,O,X,O,O
IZJTLOS,O,O,X,X,X,X,O,X,O,O
IZJTSLO,O,O,O,X,X,X,O,X,O,O
IZJTSOL,O,O,O,X,X,X,O,X,O,O
IZJTOLS,O,O,X,X,X,X,O,X,O,O
IZJTOSL,O,X,O,X,X,X,O,X,O,O
IZJLTSO,O,O,X,X,X,X,O,X,O,O
IZJLTOS,O,O,X,X,X,X,O,X,O,O
IZJLSTO,O,O,X,X,X,X,X,X,O,O
IZJLSOT,O,O,X,X,X,X,X,X,X,O
IZJLOTS,O,O,X,X,X,X,X,X,X,O
IZJLOST,O,O,X,X,X,X,X,X,X,O
IZJSTLO,O,O,O,X,X,X,O,X,O,O
IZJSTOL,O,O,O,X,X,X,O,X,O,O
IZJSLTO,O,O,O,X,X,X,X,X,O,O
IZJSLOT,O,O,X,X,X,X,X,X,X,O
IZJSOTL,O,O,X,X,X,X,X,X,O,O
IZJSOLT,O,O,X,X,X,X,X,X,X,O
IZJOTLS,O,O,X,X,X,X,O,X,O,O
IZJOTSL,O,X,X,X,X,X,O,X,O,O
IZJOLTS,O,O,X,X,X,X,X,X,X,O
IZJOLST,O,O,X,X,X,X,X,X,X,O
IZJOSTL,O,X,X,X,X,X,X,X,O,O
IZJOSLT,O,X,X,X,X,X,X,X,X,O
IZSTLJO,O,O,O,X,O,X,X,X,O,O
IZSTLOJ,O,O,O,X,O,X,X,X,O,O
IZSTJLO,O,O,O,X,O,X,O,X,O,O
IZSTJOL,O,O,O,X,X,X,O,X,O,O
IZSTOLJ,O,O,O,X,O,X,X,X,O,O
IZSTOJL,O,O,O,X,O,X,O,X,O,X
IZSLTJO,O,O,O,X,O,X,X,X,O,O
IZSLTOJ,O,O,O,X,O,X,X,X,O,O
IZSLJTO,O,O,O,X,O,X,X,X,O,O
IZSLJOT,O,O,X,X,O,X,X,X,X,O
IZSLOTJ,O,O,X,X,O,X,X,X,X,O
IZSLOJT,O,O,X,X,O,X,X,X,X,O
IZSJTLO,O,O,O,X,O,X,O,X,O,O
IZSJTOL,O,O,O,X,X,X,O,X,O,O
IZSJLTO,O,O,O,X,O,X,X,X,O,O
IZSJLOT,O,O,X,X,O,X,X,X,X,O
IZSJOTL,O,O,X,X,X,X,X,X,O,O
IZSJOLT,O,O,X,X,X,X,X,X,X,O
IZSOTLJ,O,O,X,X,O,X,X,X,O,O
IZSOTJL,O,O,X,X,O,X,X,X,O,X
IZSOLTJ,O,O,X,X,O,X,X,X,X,O
IZSOLJT,O,O,X,X,O,X,X,X,X,O
IZSOJTL,O,O,X,X,O,X,X,X,O,O
IZSOJLT,O,O,X,X,O,X,X,X,X,O
IZOTLJS,O,O,X,X,O,X,O,X,O,X
IZOTLSJ,O,O,X,X,O,X,X,X,O,X
IZOTJLS,O,O,X,X,X,X,O,X,O,X
IZOTJSL,O,X,X,X,X,X,O,X,O,X
IZOTSLJ,O,O,X,X,O,X,X,X,O,X
IZOTSJL,O,O,X,X,O,X,O,X,O,X
IZOLTJS,O,O,X,X,O,X,X,X,X,X
IZOLTSJ,O,O,X,X,O,X,X,X,X,X
IZOLJTS,O,O,X,X,O,X,X,X,X,O
IZOLJST,O,O,X,X,O,X,X,X,X,O
IZOLSTJ,O,O,X,X,O,X,X,X,X,O
IZOLSJT,O,O,X,X,O,X,X,X,X,O
IZOJTLS,O,O,X,X,X,X,O,X,O,O
IZOJTSL,O,X,X,X,X,X,O,X,O,O
IZOJLTS,O,O,X,X,O,X,X,X,X,O
IZOJLST,O,O,X,X,O,X,X,X,X,O
IZOJSTL,O,X,X,X,O,X,X,X,O,O
IZOJSLT,O,X,X,X,O,X,X,X,X,O
IZOSTLJ,O,O,X,X,O,X,X,X,O,O
IZOSTJL,O,O,X,X,O,X,X,X,O,X
IZOSLTJ,O,O,X,X,O,X,X,X,X,O
IZOSLJT,O,O,X,X,O,X,X,X,X,O
IZOSJTL,O,O,X,X,O,X,X,X,O,O
IZOSJLT,O,O,X,X,O,X,X,X,X,O
IOTLJSZ,X,X,O,X,O,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,X,X,O,X
IOTLSJZ,X,X,O,X,O,X,X,X,X,X
IOTLSZJ,X,X,O,X,O,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,O,X,O,X
IOTLZSJ,X,X,X,X,X,X,X,X,O,X
IOTJLSZ,X,X,O,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,X,X,X,X,O,X
IOTJSLZ,X,X,O,X,X,X,X,X,X,X
IOTJSZL,X,X,O,X,X,X,X,X,X,X
IOTJZLS,X,X,X,X,X,X,O,X,O,X
IOTJZSL,X,X,O,X,X,X,O,X,O,X
IOTSLJZ,X,X,O,X,O,X,X,X,X,X
IOTSLZJ,X,X,O,X,O,X,X,X,X,X
IOTSJLZ,X,X,O,X,O,X,X,X,X,X
IOTSJZL,X,X,O,X,O,X,X,X,X,X
IOTSZLJ,X,X,O,X,O,X,X,X,X,X
IOTSZJL,X,X,O,X,O,X,O,X,X,X
IOTZLJS,X,X,X,X,O,X,O,X,O,X
IOTZLSJ,X,X,X,X,O,X,X,X,O,X
IOTZJLS,X,X,X,X,X,X,O,X,O,X
IOTZJSL,X,X,O,X,X,X,O,X,O,X
IOTZSLJ,X,X,O,X,O,X,X,X,O,X
IOTZSJL,X,X,O,X,O,X,O,X,O,X
IOLTJSZ,X,X,X,X,O,O,X,X,X,X
IOLTJZS,X,X,X,X,X,O,X,X,X,X
IOLTSJZ,X,X,X,X,O,O,X,X,X,X
IOLTSZJ,X,X,X,X,O,O,X,X,X,X
IOLTZJS,X,X,X,X,X,O,X,X,X,X
IOLTZSJ,X,X,X,X,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,X,O,X,X,X,X
IOLJTZS,X,X,X,X,X,O,X,X,X,O
IOLJSTZ,X,X,X,X,O,O,X,X,X,X
IOLJSZT,X,X,X,X,X,O,X,X,X,X
IOLJZTS,X,X,X,X,X,O,X,X,X,O
IOLJZST,X,X,X,X,X,O,X,X,X,O
IOLSTJZ,X,X,X,X,O,O,X,X,X,X
IOLSTZJ,X,X,X,X,O,O,X,X,X,X
IOLSJTZ,X,X,X,X,O,O,X,X,X,X
IOLSJZT,X,X,X,X,X,O,X,X,X,X
IOLSZTJ,X,X,X,X,O,O,X,X,X,X
IOLSZJT,X,X,X,X,O,O,X,X,X,X
IOLZTJS,X,X,X,X,O,O,X,X,X,X
IOLZTSJ,X,X,X,X,O,O,X,X,X,X
IOLZJTS,X,X,X,X,O,O,X,X,X,O
IOLZJST,X,X,X,X,O,O,X,X,X,O
IOLZSTJ,X,X,X,X,O,O,X,X,X,O
IOLZSJT,X,X,X,X,O,O,X,X,X,O
IOJTLSZ,X,X,O,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,X,X,O,O
IOJTSLZ,X,X,O,X,X,X,X,X,X,X
IOJTSZL,X,X,O,X,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,X,X,O,O
IOJTZSL,X,X,O,X,X,X,X,X,O,O
IOJLTSZ,X,X,X,X,X,O,X,X,X,X
IOJLTZS,X,X,X,X,X,O,X,X,X,O
IOJLSTZ,X,X,X,X,O,O,X,X,X,X
IOJLSZT,X,X,X,X,X,O,X,X,X,X
IOJLZTS,X,X,X,X,X,O,X,X,X,O
IOJLZST,X,X,X,X,X,O,X,X,X,O
IOJSTLZ,X,X,O,X,O,O,X,X,X,X
IOJSTZL,X,X,O,X,O,O,X,X,X,X
IOJSLTZ,X,X,O,X,O,O,X,X,X,X
IOJSLZT,X,X,X,X,X,O,X,X,X,X
IOJSZTL,X,X,X,X,O,O,X,X,X,X
IOJSZLT,X,X,X,X,O,O,X,X,X,X
IOJZTLS,X,X,X,X,X,O,O,X,O,O
IOJZTSL,X,X,X,X,X,O,O,X,O,O
IOJZLTS,X,X,X,X,O,O,X,X,X,O
IOJZLST,X,X,X,X,O,O,X,X,X,O
IOJZSTL,X,X,X,X,O,O,X,X,O,O
IOJZSLT,X,X,X,X,O,O,X,X,X,O
IOSTLJZ,X,X,O,X,O,O,X,X,X,X
IOSTLZJ,X,X,O,X,O,O,X,X,X,X
IOSTJLZ,X,X,O,X,O,O,X,X,X,X
IOSTJZL,X,X,O,X,O,O,X,X,X,X
IOSTZLJ,X,X,O,X,O,O,X,X,X,X
IOSTZJL,X,X,O,X,O,O,X,X,X,X
IOSLTJZ,X,X,O,X,O,O,X,X,X,X
IOSLTZJ,X,X,O,X,O,O,X,X,X,X
IOSLJTZ,X,X,O,X,O,O,X,X,X,X
IOSLJZT,X,X,X,X,X,O,X,X,X,X
IOSLZTJ,X,X,X,X,O,O,X,X,X,X
IOSLZJT,X,X,X,X,O,O,X,X,X,X
IOSJTLZ,X,X,O,X,O,O,X,X,X,X
IOSJTZL,X,X,O,X,O,O,X,X,X,X
IOSJLTZ,X,X,O,X,O,O,X,X,X,X
IOSJLZT,X,X,X,X,X,O,X,X,X,X
IOSJZTL,X,X,X,X,O,O,X,X,X,X
IOSJZLT,X,X,X,X,O,O,X,X,X,X
IOSZTLJ,X,X,X,X,O,O,X,X,X,X
IOSZTJL,X,X,X,X,O,O,X,X,X,X
IOSZLTJ,X,X,X,X,O,O,X,X,X,X
IOSZLJT,X,X,X,X,O,O,X,X,X,X
IOSZJTL,X,X,X,X,O,O,X,X,X,X
IOSZJLT,X,X,X,X,O,O,X,X,X,X
IOZTLJS,X,X,X,X,O,X,O,X,O,X
