sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB
LZITSOJ,X,X,O
LZITOJS,X,X,X
LZITOSJ,X,X,O
LZIJTSO,X,X,O
LZIJTOS,X,X,O
LZIJSTO,X,X,O
LZIJSOT,X,X,O
LZIJOTS,X,X,O
LZIJOST,X,X,O
LZISTJO,X,X,X
LZISTOJ,X,X,O
LZISJTO,X,X,O
LZISJOT,X,X,O
LZISOTJ,X,X,O
LZISOJT,X,X,O
LZIOTJS,X,X,X
LZIOTSJ,X,X,O
LZIOJTS,X,X,O
LZIOJST,X,X,O
LZIOSTJ,X,X,O
LZIOSJT,X,X,O
LZJTISO,X,X,O
LZJTIOS,X,X,O
LZJTSIO,X,X,O
LZJTSOI,X,X,O
LZJTOIS,X,X,O
LZJTOSI,X,X,O
LZJITSO,X,X,O
LZJITOS,X,X,O
LZJISTO,O,X,O
LZJISOT,O,X,O
LZJIOTS,X,X,O
LZJIOST,O,X,O
LZJSTIO,O,X,O
LZJSTOI,O,X,O
LZJSITO,O,X,O
LZJSIOT,O,X,O
LZJSOTI,O,X,O
LZJSOIT,O,X,O
LZJOTIS,X,X,O
LZJOTSI,X,X,O
LZJOITS,X,X,O
LZJOIST,O,X,O
LZJOSTI,O,X,O
LZJOSIT,O,X,O
LZSTIJO,X,X,X
LZSTIOJ,X,X,O
LZSTJIO,O,X,X
LZSTJOI,O,X,X
LZSTOIJ,X,X,O
LZSTOJI,O,X,X
LZSITJO,X,X,X
LZSITOJ,X,X,O
LZSIJTO,X,X,O
LZSIJOT,X,X,O
LZSIOTJ,X,X,O
LZSIOJT,X,X,O
LZSJTIO,O,X,O
LZSJTOI,O,X,O
LZSJITO,O,X,O
LZSJIOT,O,X,O
LZSJOTI,O,X,O
LZSJOIT,O,X,O
LZSOTIJ,X,X,O
LZSOTJI,O,X,X
LZSOITJ,X,X,O
LZSOIJT,X,X,O
LZSOJTI,O,X,O
LZSOJIT,O,X,O
LZOTIJS,X,X,X
LZOTISJ,X,X,O
LZOTJIS,X,X,X
LZOTJSI,X,X,X
LZOTSIJ,X,X,O
LZOTSJI,X,X,X
LZOITJS,X,X,X
LZOITSJ,X,X,O
LZOIJTS,X,X,O
LZOIJST,X,X,O
LZOISTJ,X,X,O
LZOISJT,X,X,O
LZOJTIS,X,X,O
LZOJTSI,X,X,O
LZOJITS,X,X,O
LZOJIST,O,X,O
LZOJSTI,O,X,O
LZOJSIT,O,X,O
LZOSTIJ,X,X,O
LZOSTJI,O,X,X
LZOSITJ,X,X,O
LZOSIJT,X,X,O
LZOSJTI,O,X,O
LZOSJIT,O,X,O
LOTIJSZ,X,O,X
LOTIJZS,X,X,X
LOTISJZ,X,O,X
LOTISZJ,X,O,X
LOTIZJS,X,X,X
LOTIZSJ,X,X,X
LOTJISZ,X,O,X
LOTJIZS,X,X,X
LOTJSIZ,X,O,X
LOTJSZI,X,O,X
LOTJZIS,X,X,X
LOTJZSI,X,X,X
LOTSIJZ,X,O,X
LOTSIZJ,X,O,X
LOTSJIZ,X,O,X
LOTSJZI,X,O,X
LOTSZIJ,X,O,X
LOTSZJI,X,O,X
LOTZIJS,X,X,X
LOTZISJ,X,X,X
LOTZJIS,X,X,X
LOTZJSI,X,X,X
LOTZSIJ,X,X,X
LOTZSJI,X,X,X
LOITJSZ,X,O,X
LOITJZS,X,X,X
LOITSJZ,X,O,X
LOITSZJ,X,O,X
LOITZJS,X,X,X
LOITZSJ,X,X,X
LOIJTSZ,X,X,O
LOIJTZS,X,X,O
LOIJSTZ,X,X,O
LOIJSZT,O,X,O
LOIJZTS,X,X,O
LOIJZST,O,X,O
LOISTJZ,X,O,X
LOISTZJ,X,O,O
LOISJTZ,X,X,O
LOISJZT,O,X,O
LOISZTJ,X,O,O
LOISZJT,X,X,O
LOIZTJS,X,X,X
LOIZTSJ,X,X,O
LOIZJTS,X,X,O
LOIZJST,X,X,O
LOIZSTJ,X,X,O
LOIZSJT,X,X,O
LOJTISZ,X,X,O
LOJTIZS,X,X,O
LOJTSIZ,X,X,O
LOJTSZI,X,X,O
LOJTZIS,X,X,O
LOJTZSI,X,X,O
LOJITSZ,X,X,O
LOJITZS,X,X,O
LOJISTZ,X,X,O
LOJISZT,O,X,O
LOJIZTS,X,X,O
LOJIZST,O,X,O
LOJSTIZ,X,X,O
LOJSTZI,X,X,O
LOJSITZ,X,X,O
LOJSIZT,O,X,O
LOJSZTI,O,X,O
LOJSZIT,O,X,O
LOJZTIS,X,X,O
LOJZTSI,X,X,O
LOJZITS,X,X,O
LOJZIST,O,X,O
LOJZSTI,O,X,O
LOJZSIT,O,X,O
LOSTIJZ,X,O,X
LOSTIZJ,X,O,O
LOSTJIZ,X,O,X
LOSTJZI,X,O,X
LOSTZIJ,X,O,O
LOSTZJI,O,O,X
LOSITJZ,X,O,X
LOSITZJ,X,O,O
LOSIJTZ,X,X,O
LOSIJZT,O,X,O
LOSIZTJ,X,O,O
LOSIZJT,X,X,O
LOSJTIZ,X,X,O
LOSJTZI,X,X,O
LOSJITZ,X,X,O
LOSJIZT,O,X,O
LOSJZTI,O,X,O
LOSJZIT,O,X,O
LOSZTIJ,X,O,O
LOSZTJI,O,O,X
LOSZITJ,X,O,O
LOSZIJT,X,X,O
LOSZJTI,O,X,O
LOSZJIT,O,X,O
LOZTIJS,X,X,X
LOZTISJ,X,X,O
LOZTJIS,X,X,X
LOZTJSI,X,X,X
LOZTSIJ,X,X,O
LOZTSJI,X,X,X
LOZITJS,X,X,X
LOZITSJ,X,X,O
LOZIJTS,X,X,O
LOZIJST,X,X,O
LOZISTJ,X,X,O
LOZISJT,X,X,O
LOZJTIS,X,X,O
LOZJTSI,X,X,O
LOZJITS,X,X,O
LOZJIST,O,X,O
LOZJSTI,O,X,O
LOZJSIT,O,X,O
LOZSTIJ,X,X,O
LOZSTJI,O,X,X
LOZSITJ,X,X,O
LOZSIJT,X,X,O
LOZSJTI,O,X,O
LOZSJIT,O,X,O
JTILSZO,X,X,O
JTILSOZ,X,X,O
JTILZSO,X,X,O
JTILZOS,X,X,O
JTILOSZ,X,X,O
JTILOZS,X,X,O
JTISLZO,X,X,X
JTISLOZ,X,X,X
JTISZLO,X,X,X
JTISZOL,X,X,X
JTISOLZ,X,X,X
JTISOZL,X,X,X
JTIZLSO,X,X,O
JTIZLOS,X,X,O
JTIZSLO,X,X,X
JTIZSOL,X,X,X
JTIZOLS,X,X,O
JTIZOSL,X,X,X
JTIOLSZ,X,X,O
JTIOLZS,X,X,O
JTIOSLZ,X,X,X
JTIOSZL,X,X,X
JTIOZLS,X,X,O
JTIOZSL,X,X,X
JTLISZO,X,X,O
JTLISOZ,X,X,O
JTLIZSO,X,X,O
JTLIZOS,X,X,O
JTLIOSZ,X,X,O
JTLIOZS,X,X,O
JTLSIZO,X,X,O
JTLSIOZ,X,X,O
JTLSZIO,X,X,O
JTLSZOI,X,X,O
JTLSOIZ,X,X,O
JTLSOZI,X,X,O
JTLZISO,X,X,O
JTLZIOS,X,X,O
JTLZSIO,X,X,O
JTLZSOI,X,X,O
JTLZOIS,X,X,O
JTLZOSI,X,X,O
JTLOISZ,X,X,O
JTLOIZS,X,X,O
JTLOSIZ,X,X,O
JTLOSZI,X,X,O
JTLOZIS,X,X,O
JTLOZSI,X,X,O
JTSILZO,X,X,X
JTSILOZ,X,X,X
JTSIZLO,X,X,X
JTSIZOL,X,X,X
JTSIOLZ,X,X,X
JTSIOZL,X,X,X
JTSLIZO,X,X,X
JTSLIOZ,X,X,X
JTSLZIO,X,X,X
JTSLZOI,X,X,X
JTSLOIZ,X,X,X
JTSLOZI,X,X,X
JTSZILO,X,X,X
JTSZIOL,X,X,X
JTSZLIO,X,X,X
JTSZLOI,X,X,X
JTSZOIL,X,X,X
JTSZOLI,X,X,X
JTSOILZ,X,X,X
JTSOIZL,X,X,X
JTSOLIZ,X,X,X
JTSOLZI,X,X,X
JTSOZIL,X,X,X
JTSOZLI,X,X,X
JTZILSO,X,X,O
JTZILOS,X,X,O
JTZISLO,X,X,X
JTZISOL,X,X,X
JTZIOLS,X,X,O
JTZIOSL,X,X,X
JTZLISO,X,X,O
JTZLIOS,X,X,O
JTZLSIO,X,X,O
JTZLSOI,X,X,O
JTZLOIS,X,X,O
JTZLOSI,X,X,O
JTZSILO,X,X,X
JTZSIOL,X,X,X
JTZSLIO,X,X,X
JTZSLOI,X,X,X
JTZSOIL,X,X,X
JTZSOLI,X,X,X
JTZOILS,X,X,O
JTZOISL,X,X,X
JTZOLIS,X,X,O
JTZOLSI,X,X,O
JTZOSIL,X,X,X
JTZOSLI,X,X,X
JTOILSZ,X,X,O
JTOILZS,X,X,O
JTOISLZ,X,X,X
JTOISZL,X,X,X
JTOIZLS,X,X,O
JTOIZSL,X,X,X
JTOLISZ,X,X,O
JTOLIZS,X,X,O
JTOLSIZ,X,X,O
JTOLSZI,X,X,O
JTOLZIS,X,X,O
JTOLZSI,X,X,O
JTOSILZ,X,X,X
JTOSIZL,X,X,X
JTOSLIZ,X,X,X
JTOSLZI,X,X,X
JTOSZIL,X,X,X
JTOSZLI,X,X,X
JTOZILS,X,X,O
JTOZISL,X,X,X
JTOZLIS,X,X,O
JTOZLSI,X,X,O
JTOZSIL,X,X,X
JTOZSLI,X,X,X
JITLSZO,X,X,O
JITLSOZ,X,X,O
JITLZSO,X,X,O
JITLZOS,X,X,O
JITLOSZ,X,X,O
JITLOZS,X,X,O
JITSLZO,X,X,X
JITSLOZ,X,X,X
JITSZLO,X,X,X
JITSZOL,X,X,X
JITSOLZ,X,X,X
JITSOZL,X,X,X
JITZLSO,X,X,O
JITZLOS,X,X,O
JITZSLO,X,X,X
JITZSOL,X,X,X
JITZOLS,X,X,O
JITZOSL,X,X,X
JITOLSZ,X,X,O
JITOLZS,X,X,O
JITOSLZ,X,X,X
JITOSZL,X,X,X
JITOZLS,X,X,O
JITOZSL,X,X,X
JILTSZO,X,X,O
JILTSOZ,X,X,O
JILTZSO,X,X,O
JILTZOS,X,X,O
JILTOSZ,X,X,O
JILTOZS,X,X,O
JILSTZO,X,X,O
JILSTOZ,X,X,O
JILSZTO,O,X,O
JILSZOT,O,X,O
JILSOTZ,X,X,O
JILSOZT,O,X,O
JILZTSO,X,X,O
JILZTOS,X,X,O
JILZSTO,O,X,O
JILZSOT,O,X,O
JILZOTS,X,X,O
JILZOST,O,X,O
JILOTSZ,X,X,O
JILOTZS,X,X,O
JILOSTZ,X,X,O
JILOSZT,O,X,O
JILOZTS,X,X,O
JILOZST,O,X,O
JISTLZO,X,X,X
JISTLOZ,X,X,X
JISTZLO,X,X,X
JISTZOL,X,X,X
JISTOLZ,X,X,X
JISTOZL,X,X,X
JISLTZO,X,X,X
JISLTOZ,X,X,X
JISLZTO,O,X,X
JISLZOT,O,X,X
JISLOTZ,X,X,X
JISLOZT,O,X,X
JISZTLO,O,X,X
JISZTOL,O,X,X
JISZLTO,O,X,X
JISZLOT,O,X,X
JISZOTL,O,X,X
JISZOLT,O,X,X
JISOTLZ,X,X,X
JISOTZL,X,X,X
JISOLTZ,X,X,X
JISOLZT,O,X,X
JISOZTL,O,X,X
JISOZLT,O,X,X
JIZTLSO,X,X,O
JIZTLOS,X,X,O
JIZTSLO,X,X,X
JIZTSOL,X,X,X
JIZTOLS,X,X,O
JIZTOSL,X,X,X
JIZLTSO,X,X,O
JIZLTOS,X,X,O
JIZLSTO,O,X,O
JIZLSOT,O,X,O
JIZLOTS,X,X,O
JIZLOST,O,X,O
JIZSTLO,O,X,X
JIZSTOL,O,X,X
JIZSLTO,O,X,X
JIZSLOT,O,X,X
JIZSOTL,O,X,X
JIZSOLT,O,X,X
JIZOTLS,X,X,O
JIZOTSL,X,X,X
JIZOLTS,X,X,O
JIZOLST,O,X,O
JIZOSTL,O,X,X
JIZOSLT,O,X,X
JIOTLSZ,X,X,O
JIOTLZS,X,X,O
JIOTSLZ,X,X,X
JIOTSZL,X,X,X
JIOTZLS,X,X,O
JIOTZSL,X,X,X
JIOLTSZ,X,X,O
JIOLTZS,X,X,O
JIOLSTZ,X,X,O
JIOLSZT,O,X,O
JIOLZTS,X,X,O
JIOLZST,O,X,O
JIOSTLZ,X,X,X
JIOSTZL,X,X,X
JIOSLTZ,X,X,X
JIOSLZT,O,X,X
JIOSZTL,O,X,X
JIOSZLT,O,X,X
JIOZTLS,X,X,O
JIOZTSL,X,X,X
JIOZLTS,X,X,O
JIOZLST,O,X,O
JIOZSTL,O,X,X
JIOZSLT,O,X,X
JLTISZO,X,X,O
JLTISOZ,X,X,O
JLTIZSO,X,X,O
JLTIZOS,X,X,O
JLTIOSZ,X,X,O
JLTIOZS,X,X,O
JLTSIZO,X,X,O
JLTSIOZ,X,X,O
JLTSZIO,X,X,O
JLTSZOI,X,X,O
JLTSOIZ,X,X,O
JLTSOZI,X,X,O
JLTZISO,X,X,O
JLTZIOS,X,X,O
JLTZSIO,X,X,O
JLTZSOI,X,X,O
JLTZOIS,X,X,O
JLTZOSI,X,X,O
JLTOISZ,X,X,O
JLTOIZS,X,X,O
JLTOSIZ,X,X,O
JLTOSZI,X,X,O
JLTOZIS,X,X,O
JLTOZSI,X,X,O
JLITSZO,X,X,O
JLITSOZ,X,X,O
JLITZSO,X,X,O
JLITZOS,X,X,O
JLITOSZ,X,X,O
JLITOZS,X,X,O
JLISTZO,X,X,O
JLISTOZ,X,X,O
JLISZTO,O,X,O
JLISZOT,O,X,O
JLISOTZ,X,X,O
JLISOZT,O,X,O
JLIZTSO,X,X,O
JLIZTOS,X,X,O
JLIZSTO,O,X,O
JLIZSOT,O,X,O
JLIZOTS,X,X,O
JLIZOST,O,X,O
JLIOTSZ,X,X,O
JLIOTZS,X,X,O
JLIOSTZ,X,X,O
JLIOSZT,O,X,O
JLIOZTS,X,X,O
JLIOZST,O,X,O
JLSTIZO,X,X,O
JLSTIOZ,X,X,O
JLSTZIO,X,X,O
JLSTZOI,X,X,O
JLSTOIZ,X,X,O
JLSTOZI,X,X,O
JLSITZO,X,X,O
JLSITOZ,X,X,O
JLSIZTO,O,X,O
JLSIZOT,O,X,O
JLSIOTZ,X,X,O
JLSIOZT,O,X,O
JLSZTIO,O,X,O
JLSZTOI,O,X,O
JLSZITO,O,X,O
JLSZIOT,O,X,O
JLSZOTI,O,X,O
JLSZOIT,O,X,O
JLSOTIZ,X,X,O
JLSOTZI,X,X,O
JLSOITZ,X,X,O
JLSOIZT,O,X,O
JLSOZTI,O,X,O
JLSOZIT,O,X,O
JLZTISO,X,X,O
JLZTIOS,X,X,O
JLZTSIO,X,X,O
JLZTSOI,X,X,O
JLZTOIS,X,X,O
JLZTOSI,X,X,O
JLZITSO,X,X,O
JLZITOS,X,X,O
JLZISTO,O,X,O
JLZISOT,O,X,O
JLZIOTS,X,X,O
JLZIOST,O,X,O
JLZSTIO,O,X,O
JLZSTOI,O,X,O
JLZSITO,O,X,O
JLZSIOT,O,X,O
JLZSOTI,O,X,O
JLZSOIT,O,X,O
JLZOTIS,X,X,O
JLZOTSI,X,X,O
JLZOITS,X,X,O
JLZOIST,O,X,O
JLZOSTI,O,X,O
JLZOSIT,O,X,O
JLOTISZ,X,X,O
JLOTIZS,X,X,O
JLOTSIZ,X,X,O
JLOTSZI,X,X,O
JLOTZIS,X,X,O
JLOTZSI,X,X,O
JLOITSZ,X,X,O
JLOITZS,X,X,O
JLOISTZ,X,X,O
JLOISZT,O,X,O
JLOIZTS,X,X,O
JLOIZST,O,X,O
JLOSTIZ,X,X,O
JLOSTZI,X,X,O
JLOSITZ,X,X,O
JLOSIZT,O,X,O
JLOSZTI,O,X,O
JLOSZIT,O,X,O
JLOZTIS,X,X,O
JLOZTSI,X,X,O
JLOZITS,X,X,O
JLOZIST,O,X,O
JLOZSTI,O,X,O
JLOZSIT,O,X,O
JSTILZO,X,X,X
JSTILOZ,X,X,X
JSTIZLO,X,X,X
JSTIZOL,X,X,X
JSTIOLZ,X,X,X
JSTIOZL,X,X,X
JSTLIZO,X,X,X
JSTLIOZ,X,X,X
JSTLZIO,X,X,X
JSTLZOI,X,X,X
JSTLOIZ,X,X,X
JSTLOZI,X,X,X
JSTZILO,X,X,X
JSTZIOL,X,X,X
JSTZLIO,X,X,X
JSTZLOI,X,X,X
JSTZOIL,X,X,X
JSTZOLI,X,X,X
JSTOILZ,X,X,X
JSTOIZL,X,X,X
JSTOLIZ,X,X,X
JSTOLZI,X,X,X
JSTOZIL,X,X,X
JSTOZLI,X,X,X
JSITLZO,X,X,X
JSITLOZ,X,X,X
JSITZLO,X,X,X
JSITZOL,X,X,X
JSITOLZ,X,X,X
JSITOZL,X,X,X
JSILTZO,X,X,X
JSILTOZ,X,X,X
JSILZTO,O,X,X
JSILZOT,O,X,X
JSILOTZ,X,X,X
JSILOZT,O,X,X
JSIZTLO,O,X,X
JSIZTOL,O,X,X
JSIZLTO,O,X,X
JSIZLOT,O,X,X
JSIZOTL,O,X,X
JSIZOLT,O,X,X
JSIOTLZ,X,X,X
JSIOTZL,X,X,X
JSIOLTZ,X,X,X
JSIOLZT,O,X,X
JSIOZTL,O,X,X
JSIOZLT,O,X,X
JSLTIZO,X,X,X
JSLTIOZ,X,X,X
JSLTZIO,X,X,X
JSLTZOI,X,X,X
JSLTOIZ,X,X,X
JSLTOZI,X,X,X
JSLITZO,X,X,X
JSLITOZ,X,X,X
JSLIZTO,O,X,X
JSLIZOT,O,X,X
JSLIOTZ,X,X,X
JSLIOZT,O,X,X
JSLZTIO,O,X,X
JSLZTOI,O,X,X
JSLZITO,O,X,X
JSLZIOT,O,X,X
JSLZOTI,O,X,X
JSLZOIT,O,X,X
JSLOTIZ,X,X,X
JSLOTZI,X,X,X
JSLOITZ,X,X,X
JSLOIZT,O,X,X
JSLOZTI,O,X,X
JSLOZIT,O,X,X
JSZTILO,O,X,X
JSZTIOL,O,X,X
JSZTLIO,O,X,X
JSZTLOI,O,X,X
JSZTOIL,O,X,X
JSZTOLI,O,X,X
JSZITLO,O,X,X
JSZITOL,O,X,X
JSZILTO,O,X,X
JSZILOT,O,X,X
JSZIOTL,O,X,X
JSZIOLT,O,X,X
JSZLTIO,O,X,X
JSZLTOI,O,X,X
JSZLITO,O,X,X
JSZLIOT,O,X,X
JSZLOTI,O,X,X
JSZLOIT,O,X,X
JSZOTIL,O,X,X
JSZOTLI,O,X,X
JSZOITL,O,X,X
JSZOILT,O,X,X
JSZOLTI,O,X,X
JSZOLIT,O,X,X
JSOTILZ,X,X,X
JSOTIZL,X,X,X
JSOTLIZ,X,X,X
JSOTLZI,X,X,X
JSOTZIL,X,X,X
JSOTZLI,X,X,X
JSOITLZ,X,X,X
JSOITZL,X,X,X
JSOILTZ,X,X,X
JSOILZT,O,X,X
JSOIZTL,O,X,X
JSOIZLT,O,X,X
JSOLTIZ,X,X,X
JSOLTZI,X,X,X
JSOLITZ,X,X,X
JSOLIZT,O,X,X
JSOLZTI,O,X,X
JSOLZIT,O,X,X
JSOZTIL,O,X,X
JSOZTLI,O,X,X
JSOZITL,O,X,X
JSOZILT,O,X,X
JSOZLTI,O,X,X
JSOZLIT,O,X,X
JZTILSO,X,X,O
JZTILOS,X,X,O
JZTISLO,X,X,X
JZTISOL,X,X,X
JZTIOLS,X,X,O
JZTIOSL,X,X,X
JZTLISO,X,X,O
JZTLIOS,X,X,O
JZTLSIO,X,X,O
JZTLSOI,X,X,O
JZTLOIS,X,X,O
JZTLOSI,X,X,O
JZTSILO,X,X,X
JZTSIOL,X,X,X
JZTSLIO,X,X,X
JZTSLOI,X,X,X
JZTSOIL,X,X,X
JZTSOLI,X,X,X
JZTOILS,X,X,O
JZTOISL,X,X,X
JZTOLIS,X,X,O
JZTOLSI,X,X,O
JZTOSIL,X,X,X
JZTOSLI,X,X,X
JZITLSO,X,X,O
JZITLOS,X,X,O
JZITSLO,X,X,X
JZITSOL,X,X,X
JZITOLS,X,X,O
JZITOSL,X,X,X
JZILTSO,X,X,O
JZILTOS,X,X,O
JZILSTO,O,X,O
JZILSOT,O,X,O
JZILOTS,X,X,O
JZILOST,O,X,O
JZISTLO,O,X,X
JZISTOL,O,X,X
JZISLTO,O,X,X
JZISLOT,O,X,X
JZISOTL,O,X,X
JZISOLT,O,X,X
JZIOTLS,X,X,O
JZIOTSL,X,X,X
JZIOLTS,X,X,O
JZIOLST,O,X,O
JZIOSTL,O,X,X
JZIOSLT,O,X,X
JZLTISO,X,X,O
JZLTIOS,X,X,O
JZLTSIO,X,X,O
JZLTSOI,X,X,O
JZLTOIS,X,X,O
JZLTOSI,X,X,O
JZLITSO,X,X,O
JZLITOS,X,X,O
JZLISTO,O,X,O
JZLISOT,O,X,O
JZLIOTS,X,X,O
JZLIOST,O,X,O
JZLSTIO,O,X,O
JZLSTOI,O,X,O
JZLSITO,O,X,O
JZLSIOT,O,X,O
JZLSOTI,O,X,O
JZLSOIT,O,X,O
JZLOTIS,X,X,O
JZLOTSI,X,X,O
JZLOITS,X,X,O
JZLOIST,O,X,O
JZLOSTI,O,X,O
JZLOSIT,O,X,O
JZSTILO,O,X,X
JZSTIOL,O,X,X
JZSTLIO,O,X,X
JZSTLOI,O,X,X
JZSTOIL,O,X,X
JZSTOLI,O,X,X
JZSITLO,O,X,X
JZSITOL,O,X,X
JZSILTO,O,X,X
JZSILOT,O,X,X
JZSIOTL,O,X,X
JZSIOLT,O,X,X
JZSLTIO,O,X,X
JZSLTOI,O,X,X
JZSLITO,O,X,X
JZSLIOT,O,X,X
JZSLOTI,O,X,X
JZSLOIT,O,X,X
JZSOTIL,O,X,X
JZSOTLI,O,X,X
JZSOITL,O,X,X
JZSOILT,O,X,X
JZSOLTI,O,X,X
JZSOLIT,O,X,X
JZOTILS,X,X,O
JZOTISL,X,X,X
JZOTLIS,X,X,O
JZOTLSI,X,X,O
JZOTSIL,X,X,X
JZOTSLI,X,X,X
JZOITLS,X,X,O
JZOITSL,X,X,X
JZOILTS,X,X,O
JZOILST,O,X,O
JZOISTL,O,X,X
JZOISLT,O,X,X
JZOLTIS,X,X,O
JZOLTSI,X,X,O
JZOLITS,X,X,O
JZOLIST,O,X,O
JZOLSTI,O,X,O
JZOLSIT,O,X,O
JZOSTIL,O,X,X
JZOSTLI,O,X,X
JZOSITL,O,X,X
JZOSILT,O,X,X
JZOSLTI,O,X,X
JZOSLIT,O,X,X
JOTILSZ,X,X,O
JOTILZS,X,X,O
JOTISLZ,X,X,X
JOTISZL,X,X,X
JOTIZLS,X,X,O
JOTIZSL,X,X,X
JOTLISZ,X,X,O
JOTLIZS,X,X,O
JOTLSIZ,X,X,O
JOTLSZI,X,X,O
JOTLZIS,X,X,O
JOTLZSI,X,X,O
JOTSILZ,X,X,X
JOTSIZL,X,X,X
JOTSLIZ,X,X,X
JOTSLZI,X,X,X
JOTSZIL,X,X,X
JOTSZLI,X,X,X
JOTZILS,X,X,O
JOTZISL,X,X,X
JOTZLIS,X,X,O
JOTZLSI,X,X,O
JOTZSIL,X,X,X
JOTZSLI,X,X,X
JOITLSZ,X,X,O
JOITLZS,X,X,O
JOITSLZ,X,X,X
JOITSZL,X,X,X
JOITZLS,X,X,O
JOITZSL,X,X,X
JOILTSZ,X,X,O
JOILTZS,X,X,O
JOILSTZ,X,X,O
JOILSZT,O,X,O
JOILZTS,X,X,O
JOILZST,O,X,O
JOISTLZ,X,X,X
JOISTZL,X,X,X
JOISLTZ,X,X,X
JOISLZT,O,X,X
JOISZTL,O,X,X
JOISZLT,O,X,X
JOIZTLS,X,X,O
JOIZTSL,X,X,X
JOIZLTS,X,X,O
JOIZLST,O,X,O
JOIZSTL,O,X,X
JOIZSLT,O,X,X
JOLTISZ,X,X,O
JOLTIZS,X,X,O
JOLTSIZ,X,X,O
JOLTSZI,X,X,O
JOLTZIS,X,X,O
JOLTZSI,X,X,O
JOLITSZ,X,X,O
JOLITZS,X,X,O
JOLISTZ,X,X,O
JOLISZT,O,X,O
JOLIZTS,X,X,O
JOLIZST,O,X,O
JOLSTIZ,X,X,O
JOLSTZI,X,X,O
JOLSITZ,X,X,O
JOLSIZT,O,X,O
JOLSZTI,O,X,O
JOLSZIT,O,X,O
JOLZTIS,X,X,O
JOLZTSI,X,X,O
JOLZITS,X,X,O
JOLZIST,O,X,O
JOLZSTI,O,X,O
JOLZSIT,O,X,O
JOSTILZ,X,X,X
JOSTIZL,X,X,X
JOSTLIZ,X,X,X
JOSTLZI,X,X,X
JOSTZIL,X,X,X
JOSTZLI,X,X,X
JOSITLZ,X,X,X
JOSITZL,X,X,X
JOSILTZ,X,X,X
JOSILZT,O,X,X
JOSIZTL,O,X,X
JOSIZLT,O,X,X
JOSLTIZ,X,X,X
JOSLTZI,X,X,X
JOSLITZ,X,X,X
JOSLIZT,O,X,X
JOSLZTI,O,X,X
JOSLZIT,O,X,X
JOSZTIL,O,X,X
JOSZTLI,O,X,X
JOSZITL,O,X,X
JOSZILT,O,X,X
JOSZLTI,O,X,X
JOSZLIT,O,X,X
JOZTILS,X,X,O
JOZTISL,X,X,X
JOZTLIS,X,X,O
JOZTLSI,X,X,O
JOZTSIL,X,X,X
JOZTSLI,X,X,X
JOZITLS,X,X,O
JOZITSL,X,X,X
JOZILTS,X,X,O
JOZILST,O,X,O
JOZISTL,O,X,X
JOZISLT,O,X,X
JOZLTIS,X,X,O
JOZLTSI,X,X,O
JOZLITS,X,X,O
JOZLIST,O,X,O
JOZLSTI,O,X,O
JOZLSIT,O,X,O
JOZSTIL,O,X,X
JOZSTLI,O,X,X
JOZSITL,O,X,X
JOZSILT,O,X,X
JOZSLTI,O,X,X
JOZSLIT,O,X,X
STILJZO,X,O,X
STILJOZ,X,O,X
STILZJO,X,O,X
STILZOJ,X,O,X
STILOJZ,X,O,X
STILOZJ,X,O,X
STIJLZO,X,O,X
STIJLOZ,X,O,X
STIJZLO,X,O,X
STIJZOL,X,O,X
STIJOLZ,X,O,X
STIJOZL,X,O,X
STIZLJO,X,O,X
STIZLOJ,X,O,X
STIZJLO,X,O,X
STIZJOL,X,O,X
STIZOLJ,X,O,X
STIZOJL,X,O,X
STIOLJZ,X,O,X
STIOLZJ,X,O,X
STIOJLZ,X,O,X
STIOJZL,X,O,X
STIOZLJ,X,O,X
STIOZJL,X,O,X
STLIJZO,X,O,X
STLIJOZ,X,O,X
STLIZJO,X,O,X
STLIZOJ,X,O,X
STLIOJZ,X,O,X
STLIOZJ,X,O,X
STLJIZO,X,O,X
STLJIOZ,X,O,X
STLJZIO,X,O,X
STLJZOI,X,O,X
STLJOIZ,X,O,X
STLJOZI,X,O,X
STLZIJO,X,O,X
STLZIOJ,X,O,X
STLZJIO,O,O,X
STLZJOI,O,O,X
STLZOIJ,X,O,X
STLZOJI,O,O,X
STLOIJZ,X,O,X
STLOIZJ,X,O,X
STLOJIZ,X,O,X
STLOJZI,X,O,X
STLOZIJ,X,O,X
STLOZJI,O,O,X
STJILZO,X,O,X
STJILOZ,X,O,X
STJIZLO,X,O,X
STJIZOL,X,O,X
STJIOLZ,X,O,X
STJIOZL,X,O,X
STJLIZO,X,O,X
STJLIOZ,X,O,X
STJLZIO,X,O,X
STJLZOI,X,O,X
STJLOIZ,X,O,X
STJLOZI,X,O,X
STJZILO,X,O,X
STJZIOL,X,O,X
STJZLIO,X,O,X
STJZLOI,X,O,X
STJZOIL,X,O,X
STJZOLI,X,O,X
STJOILZ,X,O,X
STJOIZL,X,O,X
STJOLIZ,X,O,X
STJOLZI,X,O,X
STJOZIL,X,O,X
STJOZLI,X,O,X
STZILJO,X,O,X
STZILOJ,X,O,X
