sequence,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjB6mBO?nBzlBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhF3dBcjB6lBO?mBzmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBOnBC?mBtsBTrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBSjBThBN?nBWrB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFxcBTeBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTeBxhBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFicB+iBTeB3?hB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBKiBcjBX?mBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBanBG?mBtsBzqB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBulBi?mBtsBzrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBxdBenBC?jBXmB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeB0mBm?nB5nBXrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JecDJvhFxgBXiBzlBt?sBGrBisB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBzlBC?nBmmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF0hBxiBOoBz?lB9sBCsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF9hBKiBcjBz?lBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFthBTeB8lBm?nBxrB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFKhBzcBGeB3?iB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFGeBXhBdoBz?mB0lB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeT+IvhF6lBxhBUhBm?nB3mB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFTeB0gBmhBf?oBSrB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFCdBTeBxmB8?sBerBXsB
JZTOISL,O,O,O,O,X,O,O,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O
JZTOLIS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZTOLSI,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZTOSIL,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JZTOSLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
JZITLSO,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O
JZITLOS,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZITSLO,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,O
JZITSOL,O,O,O,O,X,X,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,O
JZITOLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
JZITOSL,O,O,O,O,X,X,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,O
JZILTSO,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
JZILTOS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZILSTO,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZILSOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZILOTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
JZILOST,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JZISTLO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZISTOL,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZISLTO,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JZISLOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZISOTL,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JZISOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JZIOTLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
JZIOTSL,O,O,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O
JZIOLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JZIOLST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZIOSTL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JZIOSLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZLTISO,O,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X
JZLTIOS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JZLTSIO,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZLTSOI,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
JZLTOIS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZLTOSI,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZLITSO,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLITOS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLISTO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLISOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JZLIOTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JZLIOST,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JZLSTIO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLSTOI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
JZLSITO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLSIOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JZLSOTI,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
JZLSOIT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JZLOTIS,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JZLOTSI,X,O,X,O,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JZLOITS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JZLOIST,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JZLOSTI,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
JZLOSIT,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
JZSTILO,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X
JZSTIOL,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X
JZSTLIO,O,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZSTLOI,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZSTOIL,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZSTOLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
JZSITLO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZSITOL,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZSILTO,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JZSILOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSIOTL,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JZSIOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JZSLTIO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSLTOI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
JZSLITO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZSLIOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JZSLOTI,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
JZSLOIT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JZSOTIL,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
JZSOTLI,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
JZSOITL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JZSOILT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JZSOLTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
JZSOLIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
JZOTILS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
JZOTISL,O,O,X,O,X,O,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O
JZOTLIS,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOTLSI,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOTSIL,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X
JZOTSLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOITLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
JZOITSL,O,O,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O
JZOILTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JZOILST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOISTL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JZOISLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZOLTIS,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JZOLTSI,O,X,X,O,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JZOLITS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JZOLIST,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JZOLSTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
JZOLSIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
JZOSTIL,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
JZOSTLI,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
JZOSITL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X
JZOSILT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JZOSLTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
JZOSLIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
JOTILSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOTILZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JOTISLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JOTISZL,O,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O,O,X,O,X,X,X
JOTIZLS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
JOTIZSL,O,O,X,O,X,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X,X
JOTLISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOTLSIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLSZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLZIS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOTLZSI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOTSILZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JOTSIZL,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
JOTSLIZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTSLZI,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTSZIL,O,O,X,O,O,O,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,X
JOTSZLI,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
JOTZILS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
JOTZISL,O,O,X,O,X,O,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,O
JOTZLIS,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOTZLSI,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOTZSIL,O,O,X,O,O,O,O,X,X,X,O,O,O,X,O,O,O,X,O,X,X,X
JOTZSLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
JOITLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOITLZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JOITSLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOITSZL,X,O,X,O,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
JOITZLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
JOITZSL,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X
JOILTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOILSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOILZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOILZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOISTLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JOISTZL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOISLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOISLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X
JOISZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZTLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
JOIZTSL,X,O,X,O,X,X,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X
JOIZLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOIZLST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZSTL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X
JOIZSLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOLTSIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLTZSI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLITSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOLISTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLIZTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOLIZST,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOLSTIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOLSITZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLSIZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOLSZTI,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JOLSZIT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JOLZTIS,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JOLZTSI,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JOLZITS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLZIST,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOLZSTI,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JOLZSIT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JOSTILZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JOSTIZL,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
JOSTLIZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOSTLZI,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOSTZIL,O,O,X,O,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,X,X,X
JOSTZLI,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
JOSITLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JOSITZL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOSILTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSILZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X
JOSIZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSLTIZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTZI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOSLITZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSLIZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOSLZTI,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JOSLZIT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JOSZTIL,O,X,X,O,O,O,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
JOSZTLI,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
JOSZITL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
JOSZILT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JOSZLTI,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
JOSZLIT,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
JOZTILS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
JOZTISL,O,O,X,O,X,O,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,O
JOZTLIS,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOZTLSI,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOZTSIL,O,O,X,O,O,O,O,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
JOZTSLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOZITLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
JOZITSL,O,O,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O
JOZILTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOZILST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZISTL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X
JOZISLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOZLTIS,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JOZLTSI,O,X,X,O,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JOZLITS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOZLIST,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JOZLSTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
JOZLSIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
JOZSTIL,O,X,X,O,O,O,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
JOZSTLI,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
JOZSITL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,O,O,X,X,X
JOZSILT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JOZSLTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
JOZSLIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
STILJZO,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
STILJOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
STILZJO,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
STILZOJ,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
STILOJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
STILOZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
STIJLZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
STIJLOZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
STIJZLO,O,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
STIJZOL,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X
STIJOLZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STIJOZL,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STIZLJO,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
STIZLOJ,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
STIZJLO,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
STIZJOL,O,X,O,O,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
STIZOLJ,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
STIZOJL,O,X,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
STIOLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOLZJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STIOJLZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STIOJZL,O,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
STIOZLJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
STIOZJL,O,X,X,X,X,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
STLIJZO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIJOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIZJO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
