sequence,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBcmBT?iBKtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBmiB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBXiB8?nBmrBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhB0iB3?mB+tBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBFiBT?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhBXiBS?tBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFyiB+jBFhB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBTmBi?nBUtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lem8IvhFzdB5jBFhB3?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBynB5?oBOtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le+DJvhFUhBRiB3iBi?mBFsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sBOtB6tB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBcmBTiBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lez9IvhF5jBFhB2nBf?sBimBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFKiBzdBcmBO?tB5oBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFFiBTmBxsBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiBXjBasB+?tBTrB0sB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTmBxnBFnBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiB0iBasB+?tBTrBXtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBUiBFjBT?mB+tBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sB6tBOtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFcmBxiBTiBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeU+IvhFFhBXiBSoBx?rBTtBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXjBasB+?tB0sBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFViBajB5jBT?mBOsBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lel8IvhFzdB5jBUhB/?nBKtBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhB0iBasB+?tBXtBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXiBcsBO?tB6tBTrB
JSZTOIL,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JSZTOLI,O,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
JSZITLO,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
JSZITOL,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JSZILTO,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X
JSZILOT,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSZIOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JSZIOLT,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSZLTIO,O,X,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,O,O,O,X,O
JSZLTOI,O,X,O,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,O,O,X,O
JSZLITO,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JSZLIOT,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JSZLOTI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JSZLOIT,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JSZOTIL,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JSZOTLI,X,X,O,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,O
JSZOITL,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JSZOILT,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSZOLTI,X,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JSZOLIT,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JSOTILZ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JSOTIZL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JSOTLIZ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSOTLZI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JSOTZIL,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOTZLI,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOITLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JSOITZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JSOILTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JSOILZT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOIZTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JSOIZLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOLTIZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSOLTZI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X
JSOLITZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
JSOLIZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSOLZTI,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
JSOLZIT,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JSOZTIL,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JSOZTLI,X,X,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
JSOZITL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JSOZILT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOZLTI,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
JSOZLIT,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZTILSO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X
JZTILOS,X,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
JZTISLO,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O
JZTISOL,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZTIOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTIOSL,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZTLISO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,O,X
JZTLIOS,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
JZTLSIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,O,O
JZTLSOI,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,O
JZTLOIS,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
JZTLOSI,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X
JZTSILO,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
JZTSIOL,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZTSLIO,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
JZTSLOI,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
JZTSOIL,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZTSOLI,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
JZTOILS,X,O,O,O,X,X,O,X,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZTOISL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZTOLIS,O,O,O,O,X,X,O,X,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JZTOLSI,O,O,O,O,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JZTOSIL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZTOSLI,O,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O
JZITLSO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X
JZITLOS,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
JZITSLO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O
JZITSOL,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZITOLS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZITOSL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZILTSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X
JZILTOS,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JZILSTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X
JZILSOT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZILOTS,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZILOST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZISTLO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
JZISTOL,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZISLTO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X
JZISLOT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZISOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZISOLT,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZIOTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZIOLTS,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOLST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOSTL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JZIOSLT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLTISO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,O,O,O,X
JZLTIOS,O,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,O,X,X
JZLTSIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,O,O
JZLTSOI,O,O,O,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,O,O
JZLTOIS,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JZLTOSI,O,O,O,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
JZLITSO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,O,O,X
JZLITOS,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X
JZLISTO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JZLISOT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZLIOTS,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZLIOST,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZLSTIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,O,O
JZLSTOI,O,O,O,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,O,O
JZLSITO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JZLSIOT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZLSOTI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZLSOIT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZLOTIS,X,O,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X
JZLOTSI,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X
JZLOITS,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZLOIST,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZLOSTI,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
JZLOSIT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZSTILO,X,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
JZSTIOL,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZSTLIO,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
JZSTLOI,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
JZSTOIL,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZSTOLI,O,O,O,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
JZSITLO,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
JZSITOL,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZSILTO,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X
JZSILOT,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZSIOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZSIOLT,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSLTIO,O,O,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,O,X,O,O,O,X,O
JZSLTOI,O,O,O,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,O,O,X,O
JZSLITO,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JZSLIOT,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZSLOTI,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZSLOIT,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZSOTIL,X,O,O,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZSOTLI,X,O,O,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,O
JZSOITL,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JZSOILT,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZSOLTI,X,O,O,O,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZSOLIT,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZOTILS,X,O,O,O,X,X,O,X,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZOTISL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JZOTLIS,X,O,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X
JZOTLSI,X,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
JZOTSIL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JZOTSLI,X,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O
JZOITLS,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
JZOITSL,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
JZOILTS,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZOILST,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZOISTL,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JZOISLT,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZOLTIS,X,O,O,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X
JZOLTSI,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
JZOLITS,X,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZOLIST,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZOLSTI,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
JZOLSIT,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZOSTIL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JZOSTLI,X,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O
JZOSITL,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JZOSILT,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZOSLTI,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
JZOSLIT,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JOTILSZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOTILZS,X,O,O,O,X,O,O,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JOTISLZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOTISZL,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X
JOTIZLS,X,O,O,O,X,X,O,X,X,X,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X
JOTIZSL,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
JOTLISZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTLIZS,X,O,O,O,X,O,O,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOTLSIZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTLSZI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOTLZIS,X,O,O,O,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTLZSI,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JOTSILZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JOTSIZL,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JOTSLIZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTSLZI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTSZIL,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTSZLI,X,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTZILS,X,O,O,O,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTZISL,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JOTZLIS,X,O,O,O,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTZLSI,X,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTZSIL,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JOTZSLI,X,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O
JOITLSZ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOITLZS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JOITSLZ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOITSZL,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X
JOITZLS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X
JOITZSL,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
JOILTSZ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOILTZS,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
